Geneid	SRR17869115	SRR17869118	SRR17869121	SRR17869116	SRR17869119	SRR17869122
16414	35690	36449	21750	34008	34378	24350
16415	1	2	1	2	0	2
16416	28	14	82	14	20	86
16418	2809	2334	1418	2288	2340	1658
16419	1634	1284	4529	1875	1311	5239
16420	0	0	2	0	0	0
16421	1044	1478	127	1279	969	121
16423	5000	4697	2428	5752	4138	2756
16424	1	6	0	0	2	2
16425	0	0	0	1	0	1
16426	0	0	0	0	0	0
16427	0	1	5	1	0	2
16428	0	1	0	2	0	0
16429	0	0	0	0	0	0
16430	4345	3689	3983	4081	3646	4424
16431	1	1	17	0	2	21
16432	63677	46220	77582	70232	47579	88414
16433	0	0	0	0	0	0
16434	559	660	276	548	475	331
16438	1743	1411	476	2312	1794	481
16439	770	640	1040	825	768	1039
16440	385	609	414	432	421	410
16443	2249	1882	2520	2165	1871	2675
16447	0	0	0	0	0	0
16449	1225	1552	923	482	1836	957
16450	13	6	20	15	8	15
16451	6401	6263	6092	6474	6154	6800
